"Date","Price","Open","High","Low","Vol.","Change %"
"2026-09-18","398.98","400.30","400.49","398.14","2.59M","0.16%"
"2026-09-17","398.36","400.28","401.44","398.04","7.75M","1.69%"
"2026-09-16","391.74","398.91","400.60","388.39","15.77M","-0.61%"
"2026-09-15","394.15","393.11","395.31","391.81","6.71M","0.33%"
"2026-09-14","392.84","391.89","395.90","390.96","7.44M","-1.49%"
"2026-09-11","398.77","402.53","403.65","398.14","10.96M","0.61%"
"2026-09-10","396.36","399.53","401.15","395.45","10.20M","-1.73%"
"2026-09-09","403.35","406.11","406.56","401.18","8.19M","0.91%"
"2026-09-08","399.72","403.56","404.28","399.48","8.99M","-1.73%"
"2026-09-04","406.77","404.66","408.00","403.96","9.82M","-0.84%"
"2026-09-03","410.22","410.71","413.54","408.54","12.51M","1.85%"
"2026-09-02","402.78","399.71","403.33","399.58","13.71M","1.52%"
"2026-09-01","396.75","398.29","401.25","396.45","13.14M","-2.86%"
"2026-08-31","408.42","407.76","408.80","404.90","9.49M","-0.11%"
"2026-08-28","408.89","422.24","424.79","407.62","25.04M","-3.24%"
"2026-08-27","422.60","420.82","423.35","418.43","7.09M","0.30%"
"2026-08-26","421.32","423.00","424.95","420.31","9.82M","-1.58%"
"2026-08-25","428.07","422.77","428.14","422.33","12.45M","0.32%"
"2026-08-24","426.69","428.55","429.42","424.20","18.94M","0.79%"
"2026-08-21","423.36","420.53","424.89","419.42","14.53M","1.95%"
"2026-08-20","415.26","410.08","416.45","409.82","13.90M","0.34%"
"2026-08-19","413.84","408.81","414.00","407.47","17.48M","3.84%"
"2026-08-18","398.55","402.55","404.32","397.87","10.66M","-1.71%"
"2026-08-17","405.49","402.33","406.23","402.18","9.60M","1.00%"
"2026-08-14","401.48","402.18","403.33","400.93","6.75M","0.63%"
"2026-08-13","398.96","402.17","402.58","398.28","8.70M","-1.47%"
"2026-08-12","404.92","405.31","407.36","403.22","10.38M","0.99%"
"2026-08-11","400.96","403.44","404.03","399.89","7.44M","-0.39%"
"2026-08-10","402.54","397.71","403.24","395.93","11.06M","1.02%"
"2026-08-07","398.47","399.60","400.66","396.95","13.32M","2.26%"
"2026-08-06","389.67","389.50","392.12","387.27","10.95M","0.01%"
"2026-08-05","389.64","384.96","391.51","384.32","14.76M","4.14%"
"2026-08-04","374.16","374.14","376.69","373.71","5.72M","0.66%"
"2026-08-03","371.71","370.10","372.04","368.64","4.97M","0.05%"
"2026-07-31","371.54","370.84","372.01","368.82","6.83M","-1.49%"
"2026-07-30","377.16","374.16","377.86","373.76","5.97M","1.64%"
"2026-07-29","371.08","368.29","377.62","366.53","11.84M","0.46%"
"2026-07-28","369.37","369.61","371.23","367.98","4.82M","-1.40%"
"2026-07-27","374.63","373.89","375.53","372.91","3.70M","0.73%"
"2026-07-24","371.90","371.26","374.49","371.03","3.85M","0.10%"
"2026-07-23","371.52","372.36","373.09","370.53","9.82M","-2.00%"
